Date,Reference,Description,Amount
2026-07-01,INV-Ndlovu-B1,Ndlovu & Associates Rental Payment,40250.00
2026-07-01,INV-GreenLeaf-B1,Green Leaf Cafe Rental Payment,20700.00
2026-07-02,INV-TechSolve-B1,TechSolve IT Rental Payment,48300.00
2026-07-02,INV-Spar-B1,Spar Franchise Rental Payment,97750.00
2026-07-03,INV-Pillay-B1,Dr Pillay Surgery Rental Payment,17250.00
2026-07-03,INV-BlueOcean-B1,Blue Ocean Logistics Rental Payment,32200.00
2026-07-04,INV-Smith-B1,Smith Attorneys Rental Payment,63250.00
2026-07-04,INV-Mpho-B1,Mpho Hair Studio Rental Payment,13800.00
2026-07-05,INV-Builders-B1,Builders Warehouse Rental Payment,138000.00
2026-07-05,INV-Clicks-B1,Clicks Pharmacy Rental Payment,51750.00
